FIELD_NAME	FIELD_TYPE	FIELD_LEN	FIELD_DEC	FIELD_LABL	QUEST_LOC	MISSING	NOTAPPL	DEFAULT	FIELD_VALI	FIELD_CODE	FIELD_EDIT	FIELD_CARR	ORDER_SCRN	ORDER_FILE	COMMENT1	MEAS_CLASS	IDBOOK	FMT	VALID_VAL	MIN_MAX	FILTER_VAR	FILTER_CND	CONFIRMED
M042235	C	1	0	WHAT IS THE VALUE OF X AND Y (D)	(M06_07)	9	8	7	M042235$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	86	86	ALGEBRA\KNOWING (T) (M06_07)	M4	5,6		1;2;3;4;				
M042067	C	1	0	WHAT IS THE AREA OF THE RECTANGLE (B)	(M06_08)	9	8	7	M042067$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	87	87	ALGEBRA\APPLYING (T) (M06_08)	M2	5,6		1;2;3;4;				
M042150	C	1	0	WHICH SHAPE HAS A LINE OF SYMMETRY (B)	(M06_09)	9	8	7	M042150$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	88	88	GEOMETRY\KNOWING (T) (M06_09)	M2	5,6		1;2;3;4;				
M042300B	C	2	0	MEASURE OF ANGLE BOC (1)	(M06_10B)	99	98	97	M042300B$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	89	89	GEOMETRY\APPLYING (T) (M06_10)	SA	5,6		10;70;79;				
M042300A	C	2	0	MARK THE POINTS B AND C ON GRAPH (1)	(M06_10A)	99	98	97	M042300A$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	90	90	GEOMETRY\APPLYING (T) (M06_10)	SA	5,6		10;70;79;				
M042300Z	C	2	0	MARK THE POINTS-DERIVED (2)	(M06_10Z)	99	98	97	M042300Z$'20#10#79#99#98#96'	CORRECT RESPONSE:20;PARTIALLY CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	91	91	GEOMETRY\APPLYING (T) (M06_10)	DPC_D	5,6		20;10;79;				
M042260	C	1	0	HOW LIKELY STUDENT VOTED FOR PAT (B)	(M06_11)	9	8	7	M042260$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	92	92	DATA AND CHANCE\KNOWING (T) (M06_11)	M2	5,6		1;2;3;4;				
M042169A	C	2	0	MEAN NUMBER OF STAFF MEMBERS (1)	(M06_12A)	99	98	97	M042169A$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	93	93	DATA AND CHANCE\KNOWING (T) (M06_12)	SA	5,6		10;79;				
M042169B	C	2	0	MEDIAN NUMBER OF STAFF MEMBERS (1)	(M06_12B)	99	98	97	M042169B$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	94	94	DATA AND CHANCE\KNOWING (T) (M06_12)	SA	5,6		10;79;				
M042169C	C	2	0	CHANGE IN MEAN AND MEDIAN (1)	(M06_12C)	99	98	97	M042169C$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	95	95	DATA AND CHANCE\APPLYING (T) (M06_12)	SA	5,6		10;70;79;				
M032352	C	1	0	THE SHADOW LENGTHS OF FOUR BUSHES (C)	(M07_01)	9	8	7	M032352$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	96	96	ALGEBRA\APPLYING (T) (M07_01)	M3	6,7		1;2;3;4;				
M032725	C	2	0	WRITE 3 5/6 IN DECIMAL FORM (1)	(M07_02)	99	98	97	M032725$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	97	97	NUMBER\KNOWING (T) (M07_02)	SA	6,7		10;70;79;				
M032683	C	2	0	SIMPLIFY 3X/8 PLUS X/4 PLUS X/2 (2)	(M07_03)	99	98	97	M032683$'20#10#11#70#71#79#99#98#96'	CORRECT RESPONSE:20;PARTIALLY CORRECT RESPONSE:10;PARTIALLY CORRECT RESPONSE:11;INCORRECT RESPONSE:70;INCORRECT RESPONSE:71;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	98	98	ALGEBRA\KNOWING (T) (M07_03)	SA	6,7		20;10;11;70;71;79;				
M032738	C	1	0	WHAT XY PLUS 1 MEAN (D)	(M07_04)	9	8	7	M032738$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	99	99	ALGEBRA\KNOWING (T) (M07_04)	M4	6,7		1;2;3;4;				
M032295	C	1	0	M BOYS AND N GIRLS IN A PARADE (A)	(M07_05)	9	8	7	M032295$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	100	100	ALGEBRA\KNOWING (T) (M07_05)	M1	6,7		1;2;3;4;				
M032331	C	1	0	DEGREES MINUTE HAND OF CLOCK TURNS (B)	(M07_06)	9	8	7	M032331$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	101	101	GEOMETRY\APPLYING (T) (M07_06)	M2	6,7		1;2;3;4;				
M032623	C	1	0	AREA OF THE SHADED REGION IN FIGURE (D)	(M07_07)	9	8	7	M032623$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	102	102	GEOMETRY\APPLYING (T) (M07_07)	M4	6,7		1;2;3;4;				
M032679	C	1	0	SHAPE OF CUTOUT FIGURE (A)	(M07_08)	9	8	7	M032679$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	103	103	GEOMETRY\KNOWING (T) (M07_08)	M1	6,7		1;2;3;4;				
M032047	C	1	0	SUM OF 3 CONSECUTIVE WHOLE NUMBERS (B)	(M07_09)	9	8	7	M032047$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	104	104	ALGEBRA\APPLYING (T) (M07_09)	M2	6,7		1;2;3;4;				
M032398	C	1	0	VALUE OF ANGLE X IN FIGURE (B)	(M07_10)	9	8	7	M032398$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	105	105	GEOMETRY\REASONING (T) (M07_10)	M2	6,7		1;2;3;4;				
M032507	C	1	0	NUMBER OF TIMES SPINNER IN RED AREA (C)	(M07_11)	9	8	7	M032507$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	106	106	DATA AND CHANCE\APPLYING (T) (M07_11)	M3	6,7		1;2;3;4;				
M032424	C	1	0	JO HAS 3 METAL BLOCKS TO WEIGH (C)	(M07_12)	9	8	7	M032424$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	107	107	ALGEBRA\REASONING (T) (M07_12)	M3	6,7		1;2;3;4;				
M032681A	C	2	0	CAR PRODUCTION GRAPH/TIME CARS MADE (1)	(M07_13A)	99	98	97	M032681A$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	108	108	DATA AND CHANCE\KNOWING (T) (M07_13)	SA	6,7		10;70;79;				
M032681B	C	2	0	CAR PRODUCTION GRAPH/AVG BY HOUR (1)	(M07_13B)	99	98	97	M032681B$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	109	109	DATA AND CHANCE\APPLYING (T) (M07_13)	SA	6,7		10;70;79;				
M032681C	C	2	0	CAR PRODUCTION GRAPH/IDENTIFY TIME (1)	(M07_13C)	99	98	97	M032681C$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	110	110	DATA AND CHANCE\APPLYING (T) (M07_13)	SA	6,7		10;79;				
M052413	C	1	0	SOLVE GIVEN NUMERIC EXPRESSION (A)	(M08_01)	9	8	7	M052413$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	111	111	NUMBER\KNOWING (M08_01)	M1	7,8		1;2;3;4;				
M052134	C	1	0	HOW MUCH HOTTER IS CITY A THAN B (D)	(M08_02)	9	8	7	M052134$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	112	112	NUMBER\KNOWING (M08_02)	M4	7,8		1;2;3;4;				
M052078	C	1	0	PERCENTAGE OF MONEY JOHN SAVES (B)	(M08_03)	9	8	7	M052078$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	113	113	NUMBER\APPLYING (M08_03)	M2	7,8		1;2;3;4;				
M052034	C	1	0	FRACTION WANTING TO GO ON A TRIP (C)	(M08_04)	9	8	7	M052034$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	114	114	NUMBER\KNOWING (M08_04)	M3	7,8		1;2;3;4;				
M052174A	C	2	0	HOW MANY KILOCALORIES USED (1)	(M08_05A)	99	98	97	M052174A$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	115	115	NUMBER\APPLYING (M08_05)	SA	7,8		10;79;				
M052174B	C	2	0	HOW MANY MINUTES OF SOCCER PLAYED (1)	(M08_05B)	99	98	97	M052174B$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	116	116	NUMBER\APPLYING (M08_05)	SA	7,8		10;70;79;				
M052130	C	1	0	EQUIVALENT ALGEBRAIC EXPRESSION (B)	(M08_06)	9	8	7	M052130$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	117	117	ALGEBRA\KNOWING (M08_06)	M2	7,8		1;2;3;4;				
M052073	C	1	0	VALUE OF FRACTIONAL EXPRESSION (C)	(M08_07)	9	8	7	M052073$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	118	118	ALGEBRA\KNOWING (M08_07)	M3	7,8		1;2;3;4;				
M052110	C	2	0	CONVERT CELSIUS INTO FAHRENHEIT (1)	(M08_08)	99	98	97	M052110$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	119	119	ALGEBRA\KNOWING (M08_08)	SA	7,8		10;79;				
M052105	C	2	0	WHICH SLOPE HAS A GREATER VALUE (1)	(M08_09)	99	98	97	M052105$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	120	120	ALGEBRA\APPLYING (M08_09)	SA	7,8		10;79;				
M052407	C	1	0	WHAT IS THE VALUE OF ANGLE A (A)	(M08_10)	9	8	7	M052407$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	121	121	GEOMETRY\APPLYING (M08_10)	M1	7,8		1;2;3;4;				
M052036	C	2	0	DRAW AN ANGLE ABC OF 135 DEGREES (1)	(M08_11)	99	98	97	M052036$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	122	122	GEOMETRY\APPLYING (M08_11)	SA	7,8		10;79;				
M052502	C	2	0	STORE WITH LOWEST PRICE PER PAIR (1)	(M08_12)	99	98	97	M052502$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	123	123	DATA AND CHANCE\APPLYING (M08_12)	SA	7,8		10;79;				
M052117	C	2	0	IS JESSE'S BAR GRAPH CORRECT (1)	(M08_13)	99	98	97	M052117$'10#11#70#79#99#98#96'	CORRECT RESPONSE:10;CORRECT RESPONSE:11;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	124	124	DATA AND CHANCE\APPLYING (M08_13)	SA	7,8		10;11;70;79;				
M052426	C	1	0	NUMBER OF GOALS OF 4 SOCCER TEAMS (D)	(M08_14)	9	8	7	M052426$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	125	125	DATA AND CHANCE\KNOWING (M08_14)	M4	7,8		1;2;3;4;				
M042183	C	1	0	FIND THE NUMBER (D)	(M09_01)	9	8	7	M042183$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	126	126	NUMBER\KNOWING (T) (M09_01)	M4	8,9		1;2;3;4;				
M042060	C	1	0	FRACTION BY WHICH PRICE REDUCED BY (B)	(M09_02)	9	8	7	M042060$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	127	127	NUMBER\KNOWING (T) (M09_02)	M2	8,9		1;2;3;4;				
M042019	C	2	0	APPROXIMATE THE SUM (1)	(M09_03)	99	98	97	M042019$'10#70#71#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:71;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	128	128	NUMBER\KNOWING (T) (M09_03)	SA	8,9		10;70;71;79;				
M042023	C	2	0	WHICH IS LARGER 7/12 OR 2/3 (1)	(M09_04)	99	98	97	M042023$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	129	129	NUMBER\APPLYING (T) (M09_04)	SA	8,9		10;79;				
M042197	C	2	0	RULE TO GET TERMS IN THE PATTERN (1)	(M09_05)	99	98	97	M042197$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	130	130	NUMBER\REASONING (T) (M09_05)	SA	8,9		10;70;79;				
M042234	C	1	0	WHAT IS THE VALUE OF X (C)	(M09_06)	9	8	7	M042234$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	131	131	ALGEBRA\KNOWING (T) (M09_06)	M3	8,9		1;2;3;4;				
M042066	C	2	0	MISSING TERM IN THE SEQUENCE (1)	(M09_07)	99	98	97	M042066$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	132	132	ALGEBRA\REASONING (T) (M09_07)	SA	8,9		10;70;79;				
M042243	C	1	0	WHICH EQUATION IS SATISFIED (A)	(M09_08)	9	8	7	M042243$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	133	133	ALGEBRA\KNOWING (T) (M09_08)	M1	8,9		1;2;3;4;				
M042248	C	2	0	WHAT IS THE VALUE OF N (1)	(M09_09)	99	98	97	M042248$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	134	134	ALGEBRA\KNOWING (T) (M09_09)	SA	8,9		10;70;79;				
M042229A	C	2	0	WRITE AN EQUATION TO FIND X (1)	(M09_10A)	99	98	97	M042229A$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	135	135	ALGEBRA\APPLYING (T) (M09_10)	SA	8,9		10;70;79;				
M042229B	C	2	0	LENGTH OF LONGEST SIDE OF TRIANGLE (1)	(M09_10B)	99	98	97	M042229B$'10#70#71#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:71;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	136	136	ALGEBRA\KNOWING (T) (M09_10)	SA	8,9		10;70;71;79;				
M042229Z	C	2	0	LENGTH OF LONGEST SIDE-DERIVED(2)	(M09_10Z)	99	98	97	M042229Z$'20#10#79#99#98#96'	CORRECT RESPONSE:20;PARTIALLY CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	137	137	ALGEBRA\KNOWING (T) (M09_10)	DPC_D	8,9		20;10;79;				
M042080A	C	2	0	WHAT IS A+B (1)	(M09_11A)	99	98	97	M042080A$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	138	138	ALGEBRA\KNOWING (T) (M09_11)	SA	8,9		10;70;79;				
M042080B	C	2	0	WHAT IS A-B (1)	(M09_11B)	99	98	97	M042080B$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	139	139	ALGEBRA\KNOWING (T) (M09_11)	SA	8,9		10;70;79;				
M042120	C	1	0	STATEMENT ABOUT LINES L AND M (A)	(M09_12)	9	8	7	M042120$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	140	140	GEOMETRY\KNOWING (T) (M09_12)	M1	8,9		1;2;3;4;				
M042203	C	1	0	WHAT IS THE VALUE OF X (C)	(M09_13)	9	8	7	M042203$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	141	141	GEOMETRY\APPLYING (T) (M09_13)	M3	8,9		1;2;3;4;				
M042264	C	2	0	CONDITIONS FOR SIMILAR TRIANGLES (1)	(M09_14)	99	98	97	M042264$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	142	142	GEOMETRY\REASONING (T) (M09_14)	SA	8,9		10;79;				
M042255	C	1	0	REPRESENTING DATA ON A PIE CHART (B)	(M09_15)	9	8	7	M042255$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	143	143	DATA AND CHANCE\APPLYING (T) (M09_15)	M2	8,9		1;2;3;4;				
M042224	C	2	0	ESTIMATE THE TEMPERATURE (1)	(M09_16)	99	98	97	M042224$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	144	144	DATA AND CHANCE\KNOWING (T) (M09_16)	SA	8,9		10;79;				
M052017	C	1	0	EQUIVALENT NUMERIC EXPRESSION (D)	(M10_01)	9	8	7	M052017$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	145	145	NUMBER\KNOWING (M10_01)	M4	9,10		1;2;3;4;				
M052217	C	2	0	WHO PAID LESS FOR A HOCKEY STICK (1)	(M10_02)	99	98	97	M052217$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	146	146	NUMBER\REASONING (M10_02)	SA	9,10		10;79;				
M052021	C	2	0	COMPLETE TV GAME SHOW TABLE (2)	(M10_03)	99	98	97	M052021$'20#10#79#99#98#96'	CORRECT RESPONSE:20;PARTIALLY CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	147	147	NUMBER\REASONING (M10_03)	SA	9,10		20;10;79;				
M052095	C	2	0	COMPLETE THE FRACTION SEQUENCE (1)	(M10_04)	99	98	97	M052095$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	148	148	NUMBER\KNOWING (M10_04)	SA	9,10		10;70;79;				
M052094	C	2	0	WHO SPENT MORE FOR SHOES (1)	(M10_05)	99	98	97	M052094$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	149	149	NUMBER\REASONING (M10_05)	SA	9,10		10;70;79;				
M052131	C	1	0	STEP IN SOLVING THE EQUATION (A)	(M10_06)	9	8	7	M052131$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	150	150	ALGEBRA\APPLYING (M10_06)	M1	9,10		1;2;3;4;				
M052090	C	1	0	SET UP SYSTEM OF EQUATIONS (C)	(M10_07)	9	8	7	M052090$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	151	151	ALGEBRA\APPLYING (M10_07)	M3	9,10		1;2;3;4;				
M052121A	C	1	0	AREA OF THE 5TH SQUARE (A)	(M10_08A)	9	8	7	M052121A$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	152	152	ALGEBRA\REASONING (M10_08)	M1	9,10		1;2;3;4;				
M052121B	C	2	0	AREA OF THE NTH SQUARE (1)	(M10_08B)	99	98	97	M052121B$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	153	153	ALGEBRA\REASONING (M10_08)	SA	9,10		10;70;79;				
M052042	C	2	0	LENGTH OF THE SIDE OF THE TRIANGLE (1)	(M10_09)	99	98	97	M052042$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	154	154	GEOMETRY\APPLYING (M10_09)	SA	9,10		10;79;				
M052047	C	2	0	VALUE OF ANGLE Y IN A TRIANGLE (1)	(M10_10)	99	98	97	M052047$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	155	155	GEOMETRY\APPLYING (M10_10)	SA	9,10		10;70;79;				
M052044	C	1	0	POINT EQUIDISTANT FROM P AND Q (A)	(M10_11)	9	8	7	M052044$'1#2#3#4#9#8#6'	A*:1;B:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	156	156	GEOMETRY\REASONING (M10_11)	M1	9,10		1;2;3;4;				
M052422A	C	1	0	BLUE COLOR ON THE SPINNERS (B)	(M10_12A)	9	8	7	M052422A$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	157	157	DATA AND CHANCE\APPLYING (M10_12)	M2	9,10		1;2;3;4;				
M052422B	C	1	0	RED COLOR ON THE SPINNERS (D)	(M10_12B)	9	8	7	M052422B$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	158	158	DATA AND CHANCE\APPLYING (M10_12)	M4	9,10		1;2;3;4;				
M052505	C	1	0	PIZZAS SOLD BY A SHOP (B)	(M10_13)	9	8	7	M052505$'1#2#3#4#9#8#6'	A:1;B*:2;C:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	159	159	DATA AND CHANCE\KNOWING (M10_13)	M2	9,10		1;2;3;4;				
M042015	C	1	0	WHAT IS THE VALUE OF CUBE OF 3 (C)	(M11_01)	9	8	7	M042015$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	160	160	NUMBER\KNOWING (T) (M11_01)	M3	10,11		1;2;3;4;				
M042196	C	1	0	SPEED ON THE SPEEDOMETER (C)	(M11_02)	9	8	7	M042196$'1#2#3#4#9#8#6'	A:1;B:2;C*:3;D:4;omitted:9;not admin.:8;not reached:6;	1	0	161	161	DATA AND CHANCE\KNOWING (T) (M11_02)	M3	10,11		1;2;3;4;				
M042194	C	2	0	PRESENT OF GAMES THE TEAM LOSE (1)	(M11_03)	99	98	97	M042194$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	162	162	NUMBER\KNOWING (T) (M11_03)	SA	10,11		10;79;				
M042114A	C	2	0	COMPLETE THE TABLE (1)	(M11_04A)	99	98	97	M042114A$'10#70#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:70;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	163	163	NUMBER\KNOWING (T) (M11_04)	SA	10,11		10;70;79;				
M042114B	C	2	0	NUMBER OF PAPERS IN A 28MM STACK (1)	(M11_04B)	99	98	97	M042114B$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	164	164	NUMBER\APPLYING (T) (M11_04)	SA	10,11		10;79;				
M042112	C	1	0	RELATIONSHIP BETWEEN X AND Y (D)	(M11_05)	9	8	7	M042112$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	165	165	ALGEBRA\APPLYING (T) (M11_05)	M4	10,11		1;2;3;4;				
M042109	C	1	0	FORMULA FOR DISTANCE TRAVELED (D)	(M11_06)	9	8	7	M042109$'1#2#3#4#9#8#6'	A:1;B:2;C:3;D*:4;omitted:9;not admin.:8;not reached:6;	1	0	166	166	ALGEBRA\APPLYING (T) (M11_06)	M4	10,11		1;2;3;4;				
M042050	C	2	0	VALUE OF THE EXPRESSION (1)	(M11_07)	99	98	97	M042050$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	167	167	ALGEBRA\KNOWING (T) (M11_07)	SA	10,11		10;79;				
M042074A	C	2	0	CIRCLES FOR PATTERNS 4 & 30 (1)	(M11_08A)	99	98	97	M042074A$'10#79#99#98#96'	CORRECT RESPONSE:10;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	168	168	ALGEBRA\REASONING (T) (M11_08)	SA	10,11		10;79;				
M042074B	C	2	0	PROCEDURE FOR FINDING THE NUMBER (1)	(M11_08B)	99	98	97	M042074B$'10#11#12#79#99#98#96'	CORRECT RESPONSE:10;CORRECT RESPONSE:11;CORRECT RESPONSE:12;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	169	169	ALGEBRA\REASONING (T) (M11_08)	SA	10,11		10;11;12;79;				
M042074C	C	2	0	RULE FOR FINDING NUMBER OF CIRCLES (1)	(M11_08C)	99	98	97	M042074C$'10#11#79#99#98#96'	CORRECT RESPONSE:10;CORRECT RESPONSE:11;INCORRECT RESPONSE:79;omitted:99;not admin.:98;not reached:96;	1	0	170	170	ALGEBRA\REASONING (T) (M11_08)	SA	10,11		10;11;79;				
